Name,Club,Position,Overall
Kylian Mbappé,Paris SG,ST,91
Erling Haaland,Manchester City,ST,91
Lionel Messi,Inter Miami CF,CF,90
Karim Benzema,Al Ittihad,CF,90
Harry Kane,FC Bayern München,ST,90
Robert Lewandowski,FC Barcelona,ST,90
Mohamed Salah,Liverpool,RW,89
Vini Jr.,Real Madrid,LW,89
Neymar Jr,Al Hilal,LW,89
Victor Osimhen,Napoli FC,ST,88
Antoine Griezmann,Atlético de Madrid,ST,88
Lautaro Martínez,Inter,ST,87
Heung Min Son,Spurs,LW,87
Sadio Mané,Al Nassr,CF,86
Christopher Nkunku,Chelsea,CF,86
Cristiano Ronaldo,Al Nassr,ST,86
Khvicha Kvaratskhelia,Napoli FC,LW,86
Paulo Dybala,Roma FC,CF,86
Bukayo Saka,Arsenal,RW,86
Rafael Leão,Milan,LW,86
Ousmane Dembélé,Paris SG,RW,86
Ciro Immobile,Latium,ST,85
Marcus Rashford,Manchester Utd,LW,85
Diogo Jota,Liverpool,CF,85
Rodrygo,Real Madrid,RW,85
Jack Grealish,Manchester City,LW,85
Iago Aspas,RC Celta,ST,85
Domenico Berardi,Sassuolo,RW,85
Phil Foden,Manchester City,LW,85
Randal Kolo Muani,Paris SG,ST,84
Romelu Lukaku,Roma FC,ST,84
Gabriel Martinelli,Arsenal,LW,84
Memphis Depay,Atlético de Madrid,CF,84
Raphinha,FC Barcelona,RW,84
Luis Díaz,Liverpool,LW,84
Gabriel Jesus,Arsenal,ST,84
Alexandre Lacazette,OL,ST,83
Morata,Atlético de Madrid,ST,83
Gerard Moreno,Villarreal CF,ST,83
Patrik Schick,Leverkusen,ST,83
Raheem Sterling,Chelsea,LW,83
Dušan Vlahović,Juventus,ST,83
Borja Iglesias,Real Betis,ST,83
Edin Džeko,Fenerbahçe,ST,83
Marco Asensio,Paris SG,RW,83
Wissam Ben Yedder,AS Monaco,ST,83
Ángel Di María,SL Benfica,CF,83
Sébastien Haller,Borussia Dortmund,ST,83
Cody Gakpo,Liverpool,CF,83
Rafa,SL Benfica,CF,83
Kevin De Bruyne,Manchester City,CM,91
Rodri,Manchester City,CDM,89
Casemiro,Manchester Utd,CDM,89
Bernardo Silva,Manchester City,CM,88
Federico Valverde,Real Madrid,CM,88
Joshua Kimmich,FC Bayern München,CDM,88
Bruno Fernandes,Manchester Utd,CAM,88
Luka Modrić,Real Madrid,CM,87
Frenkie de Jong,FC Barcelona,CM,87
Martin Ødegaard,Arsenal,CAM,87
Parejo,Villarreal CF,CM,86
Toni Kroos,Real Madrid,CM,86
N'Golo Kanté,Al Ittihad,CDM,86
Sergej Milinković-Savić,Al Hilal,CM,86
İlkay Gündoğan,FC Barcelona,CM,86
Pedri,FC Barcelona,CM,86
Jude Bellingham,Real Madrid,CM,86
Riyad Mahrez,Al Ahli,RM,86
Jamal Musiala,FC Bayern München,CAM,86
Nicolò Barella,Inter,CM,86
Sandro Tonali,Newcastle Utd,CDM,86
Thomas Partey,Arsenal,CDM,85
Declan Rice,Arsenal,CDM,85
Florian Wirtz,Leverkusen,CAM,85
Leon Goretzka,FC Bayern München,CM,85
Hakan Çalhanoğlu,Inter,CM,85
Kingsley Coman,FC Bayern München,LM,85
Adrien Rabiot,Juventus,CM,84
Marcos Llorente,Atlético de Madrid,RM,84
Stanislav Lobotka,Napoli FC,CM,84
Mikel Merino,Real Sociedad,CM,84
Thomas Müller,FC Bayern München,CAM,84
Koke,Atlético de Madrid,CDM,84
Luis Alberto,Latium,CM,84
Leroy Sané,FC Bayern München,RM,84
Aurélien Tchouaméni,Real Madrid,CDM,84
James Maddison,Spurs,CAM,84
Pierre-Emile Højbjerg,Spurs,CDM,84
Moussa Diaby,Aston Villa,RM,84
Thiago,Liverpool,CM,84
Ismaël Bennacer,Milan,CDM,84
Julian Brandt,Borussia Dortmund,CAM,84
Yannick Carrasco,Al Shabab,LM,84
Rúben Neves,Al Hilal,CDM,84
Rodrigo Javier De Paul,Atlético de Madrid,CM,84
Federico Chiesa,Juventus,LM,84
Serge Gnabry,FC Bayern München,RM,84
Bruno Guimarães,Newcastle Utd,CM,84
Fabinho,Al Ittihad,CDM,84
Lorenzo Pellegrini,Roma FC,CAM,83
Rúben Dias,Manchester City,CB,89
Virgil van Dijk,Liverpool,CB,89
Marquinhos,Paris SG,CB,87
Éder Militão,Real Madrid,CB,86
Matthijs de Ligt,FC Bayern München,CB,86
Ronald Araujo,FC Barcelona,CB,86
Antonio Rüdiger,Real Madrid,CB,85
Aymeric Laporte,Al Nassr,CB,85
John Stones,Manchester City,CB,85
Raphaël Varane,Manchester Utd,CB,85
Jules Koundé,FC Barcelona,CB,85
Alessandro Bastoni,Inter,CB,85
David Alaba,Real Madrid,CB,85
Kalidou Koulibaly,Al Hilal,CB,84
Lisandro Martínez,Manchester Utd,CB,84
Milan Škriniar,Paris SG,CB,84
Bremer,Juventus,CB,84
Chris Smalling,Roma FC,CB,84
Niklas Süle,Borussia Dortmund,CB,84
Fikayo Tomori,Milan,CB,84
Kim Min Jae,FC Bayern München,CB,84
Lucas Hernández,Paris SG,CB,84
Thiago Silva,Chelsea,CB,84
Grimaldo,Leverkusen,LWB,84
Matthias Ginter,SC Freiburg,CB,84
Gabriel,Arsenal,CB,84
Gianluca Mancini,Roma FC,CB,83
Willi Orban,RB Leipzig,CB,83
Benjamin Pavard,Inter,CB,83
Alessio Romagnoli,Latium,CB,83
William Saliba,Arsenal,CB,83
Nico Schlotterbeck,Borussia Dortmund,CB,83
Nacho Fernández,Real Madrid,CB,83
Mats Hummels,Borussia Dortmund,CB,83
Sven Botman,Newcastle Utd,CB,83
Andreas Christensen,FC Barcelona,CB,83
Pau Torres,Aston Villa,CB,83
José María Giménez,Atlético de Madrid,CB,83
Jeremie Frimpong,Leverkusen,RWB,83
Francesco Acerbi,Inter,CB,83
Cristian Romero,Spurs,CB,82
Nicolás Otamendi,SL Benfica,CB,82
Iñigo Martínez,FC Barcelona,CB,82
Stefan Savić,Atlético de Madrid,CB,82
Fabian Schär,Newcastle Utd,CB,82
Dayot Upamecano,FC Bayern München,CB,82
Manuel Akanji,Manchester City,CB,82
Stefan de Vrij,Inter,CB,82
Federico Dimarco,Inter,LWB,82
Robin Le Normand,Real Sociedad,CB,82
Andrew Robertson,Liverpool,LB,86
João Cancelo,FC Barcelona,LB,86
Theo Hernández,Milan,LB,85
Marcos Acuña,Sevilla FC,LB,85
Luke Shaw,Manchester Utd,LB,83
Jordi Alba,Inter Miami CF,LB,83
Alphonso Davies,FC Bayern München,LB,83
Ferland Mendy,Real Madrid,LB,82
Nuno Mendes,Paris SG,LB,82
Javi Galán,Atlético de Madrid,LB,82
Raphaël Guerreiro,FC Bayern München,LB,82
Gayà,Valencia CF,LB,82
Reinildo,Atlético de Madrid,LB,81
Mário Rui,Napoli FC,LB,81
Ben Chilwell,Chelsea,LB,81
Balde,FC Barcelona,LB,81
Álex Moreno,Aston Villa,LB,80
Adam Marušić,Latium,LB,80
Oleksandr Zinchenko,Arsenal,LB,80
Kieran Tierney,Real Sociedad,LB,80
Nicolás Tagliafico,OL,LB,80
Cristiano Biraghi,Fiorentina,LB,80
Ramy Bensebaini,Borussia Dortmund,LB,80
Pervis Estupiñán,Brighton,LB,80
Alex Telles,Al Nassr,LB,79
Trent Alexander-Arnold,Liverpool,RB,86
Kieran Trippier,Newcastle Utd,RB,85
Giovanni Di Lorenzo,Napoli FC,RB,85
Reece James,Chelsea,RB,84
Kyle Walker,Manchester City,RB,84
Achraf Hakimi,Paris SG,RB,84
Noussair Mazraoui,FC Bayern München,RB,82
Nahuel Molina,Atlético de Madrid,RB,82
Carvajal,Real Madrid,RB,82
Pedro Porro,Spurs,RB,81
Lucas Vázquez,Real Madrid,RB,81
Davide Calabria,Milan,RB,81
Jesús Navas,Sevilla FC,RB,80
Arnau Martínez,Girona FC,RB,80
Benjamin White,Arsenal,RB,80
Sergi Roberto,FC Barcelona,RB,80
Aaron Wan-Bissaka,Manchester Utd,RB,80
Hamari Traoré,Real Sociedad,RB,80
Diogo Dalot,Manchester Utd,RB,80
De Marcos,Athletic Club,RB,80
Juan Foyth,Villarreal CF,RB,80
Nordi Mukiele,Paris SG,RB,79
Gonzalo Montiel,Nott'm Forest,RB,79
Manuel Lazzari,Latium,RB,79
Matty Cash,Aston Villa,RB,79
